"60,000 ms (1 minute) / Tempo (BPM) = Delay Time in ms for quarter-note beats",,,,,
"The time in years is equal to the seconds divided by 31,556,952",,,,,
"60,000 ms (1 minute) / Tempo (BPM) = Delay Time in ms for quarter-note beats",,,,,
"The time in years is equal to the seconds divided by 31,556,952",,,,,
,,,,,
"Melody Count","Note Count","BPM","Note Length","Melody Length","Total Length"
"68,719,476,774",12.00,"=C46+20","=60000/C47","=D47*B47/1000","=A47*E47/31556952"
"68,719,476,775",12.00,"=C47+20","=60000/C48","=D48*B48/1000","=A48*E48/31556952"
"68,719,476,776",12.00,"=C48+20","=60000/C49","=D49*B49/1000","=A49*E49/31556952"
"68,719,476,777",12.00,"=C49+20","=60000/C50","=D50*B50/1000","=A50*E50/31556952"
"68,719,476,778",12.00,"=C50+20","=60000/C51","=D51*B51/1000","=A51*E51/31556952"
"68,719,476,779",12.00,"=C51+20","=60000/C52","=D52*B52/1000","=A52*E52/31556952"
"68,719,476,780",12.00,"=C52+20","=60000/C53","=D53*B53/1000","=A53*E53/31556952"
"68,719,476,781",12.00,"=C53+20","=60000/C54","=D54*B54/1000","=A54*E54/31556952"
"68,719,476,782",12.00,"=C54+20","=60000/C55","=D55*B55/1000","=A55*E55/31556952"
"68,719,476,783",12.00,"=C55+20","=60000/C56","=D56*B56/1000","=A56*E56/31556952"
"68,719,476,784",12.00,"=C56+20","=60000/C57","=D57*B57/1000","=A57*E57/31556952"
"68,719,476,785",12.00,"=C57+20","=60000/C58","=D58*B58/1000","=A58*E58/31556952"
"68,719,476,786",12.00,"=C58+20","=60000/C59","=D59*B59/1000","=A59*E59/31556952"
"68,719,476,787",12.00,"=C59+20","=60000/C60","=D60*B60/1000","=A60*E60/31556952"
"68,719,476,788",12.00,"=C60+20","=60000/C61","=D61*B61/1000","=A61*E61/31556952"
"68,719,476,789",12.00,"=C61+20","=60000/C62","=D62*B62/1000","=A62*E62/31556952"
"68,719,476,790",12.00,"=C62+20","=60000/C63","=D63*B63/1000","=A63*E63/31556952"
"68,719,476,791",12.00,"=C63+20","=60000/C64","=D64*B64/1000","=A64*E64/31556952"
"68,719,476,792",12.00,"=C64+20","=60000/C65","=D65*B65/1000","=A65*E65/31556952"
"68,719,476,793",12.00,"=C65+20","=60000/C66","=D66*B66/1000","=A66*E66/31556952"
"68,719,476,794",12.00,"=C66+20","=60000/C67","=D67*B67/1000","=A67*E67/31556952"
"68,719,476,795",12.00,"=C67+20","=60000/C68","=D68*B68/1000","=A68*E68/31556952"
"68,719,476,796",12.00,"=C68+20","=60000/C69","=D69*B69/1000","=A69*E69/31556952"
"68,719,476,797",12.00,"=C69+20","=60000/C70","=D70*B70/1000","=A70*E70/31556952"
"68,719,476,798",12.00,"=C70+20","=60000/C71","=D71*B71/1000","=A71*E71/31556952"
"68,719,476,799",12.00,"=C71+20","=60000/C72","=D72*B72/1000","=A72*E72/31556952"
"68,719,476,800",12.00,"=C72+20","=60000/C73","=D73*B73/1000","=A73*E73/31556952"
"68,719,476,801",12.00,"=C73+20","=60000/C74","=D74*B74/1000","=A74*E74/31556952"
"68,719,476,802",12.00,"=C74+20","=60000/C75","=D75*B75/1000","=A75*E75/31556952"
"68,719,476,803",12.00,"=C75+20","=60000/C76","=D76*B76/1000","=A76*E76/31556952"
"68,719,476,804",12.00,"=C76+20","=60000/C77","=D77*B77/1000","=A77*E77/31556952"
"68,719,476,805",12.00,"=C77+20","=60000/C78","=D78*B78/1000","=A78*E78/31556952"
"68,719,476,806",12.00,"=C78+20","=60000/C79","=D79*B79/1000","=A79*E79/31556952"
"68,719,476,807",12.00,"=C79+20","=60000/C80","=D80*B80/1000","=A80*E80/31556952"
"68,719,476,808",12.00,"=C80+20","=60000/C81","=D81*B81/1000","=A81*E81/31556952"
"68,719,476,809",12.00,"=C81+20","=60000/C82","=D82*B82/1000","=A82*E82/31556952"
"68,719,476,810",12.00,"=C82+20","=60000/C83","=D83*B83/1000","=A83*E83/31556952"
"68,719,476,811",12.00,"=C83+20","=60000/C84","=D84*B84/1000","=A84*E84/31556952"
"68,719,476,812",12.00,"=C84+20","=60000/C85","=D85*B85/1000","=A85*E85/31556952"
"68,719,476,813",12.00,"=C85+20","=60000/C86","=D86*B86/1000","=A86*E86/31556952"
"68,719,476,814",12.00,"=C86+20","=60000/C87","=D87*B87/1000","=A87*E87/31556952"
"68,719,476,815",12.00,"=C87+20","=60000/C88","=D88*B88/1000","=A88*E88/31556952"
"68,719,476,816",12.00,"=C88+20","=60000/C89","=D89*B89/1000","=A89*E89/31556952"
"68,719,476,817",12.00,"=C89+20","=60000/C90","=D90*B90/1000","=A90*E90/31556952"
"68,719,476,818",12.00,"=C90+20","=60000/C91","=D91*B91/1000","=A91*E91/31556952"
"68,719,476,819",12.00,"=C91+20","=60000/C92","=D92*B92/1000","=A92*E92/31556952"
"68,719,476,820",12.00,"=C92+20","=60000/C93","=D93*B93/1000","=A93*E93/31556952"
"68,719,476,821",12.00,"=C93+20","=60000/C94","=D94*B94/1000","=A94*E94/31556952"
"68,719,476,822",12.00,"=C94+20","=60000/C95","=D95*B95/1000","=A95*E95/31556952"
"68,719,476,823",12.00,"=C95+20","=60000/C96","=D96*B96/1000","=A96*E96/31556952"
"68,719,476,824",12.00,"=C96+20","=60000/C97","=D97*B97/1000","=A97*E97/31556952"
"68,719,476,825",12.00,"=C97+20","=60000/C98","=D98*B98/1000","=A98*E98/31556952"
"68,719,476,826",12.00,"=C98+20","=60000/C99","=D99*B99/1000","=A99*E99/31556952"
"68,719,476,827",12.00,"=C99+20","=60000/C100","=D100*B100/1000","=A100*E100/31556952"
"68,719,476,828",12.00,"=C100+20","=60000/C101","=D101*B101/1000","=A101*E101/31556952"
"68,719,476,829",12.00,"=C101+20","=60000/C102","=D102*B102/1000","=A102*E102/31556952"
"68,719,476,830",12.00,"=C102+20","=60000/C103","=D103*B103/1000","=A103*E103/31556952"
"68,719,476,831",12.00,"=C103+20","=60000/C104","=D104*B104/1000","=A104*E104/31556952"
"68,719,476,832",12.00,"=C104+20","=60000/C105","=D105*B105/1000","=A105*E105/31556952"
"68,719,476,833",12.00,"=C105+20","=60000/C106","=D106*B106/1000","=A106*E106/31556952"
"68,719,476,834",12.00,"=C106+20","=60000/C107","=D107*B107/1000","=A107*E107/31556952"
